Time - u3	Amplitude - u3	Time - f3	Amplitude - f3	
0	4,5	0	1,8	
0,1	4,5	0,1	1,802	
0,2	4,5	0,2	1,804	
0,3	4,5	0,3	1,805	
0,4	4,5	0,4	1,807	
0,5	4,5	0,5	1,809	
0,6	4,5	0,6	1,811	
0,7	4,5	0,7	1,812	
0,8	4,5	0,8	1,814	
0,9	4,5	0,9	1,816	
1	4,5	1	1,817	
1,1	4,5	1,1	1,819	
1,2	4,5	1,2	1,821	
1,3	4,5	1,3	1,822	
1,4	4,5	1,4	1,824	
1,5	4,5	1,5	1,825	
1,6	4,5	1,6	1,827	
1,7	4,5	1,7	1,828	
1,8	4,5	1,8	1,83	
1,9	4,5	1,9	1,831	
2	4,5	2	1,833	
2,1	4,5	2,1	1,834	
2,2	4,5	2,2	1,836	
2,3	4,5	2,3	1,837	
2,4	4,5	2,4	1,839	
2,5	4,5	2,5	1,84	
2,6	4,5	2,6	1,842	
2,7	4,5	2,7	1,843	
2,8	4,5	2,8	1,844	
2,9	4,5	2,9	1,846	
3	4,5	3	1,847	
3,1	4,5	3,1	1,848	
3,2	4,5	3,2	1,85	
3,3	4,5	3,3	1,851	
3,4	4,5	3,4	1,852	
3,5	4,5	3,5	1,854	
3,6	4,5	3,6	1,855	
3,7	4,5	3,7	1,856	
3,8	4,5	3,8	1,857	
3,9	4,5	3,9	1,859	
4	4,5	4	1,86	
4,1	4,5	4,1	1,861	
4,2	4,5	4,2	1,862	
4,3	4,5	4,3	1,864	
4,4	4,5	4,4	1,865	
4,5	4,5	4,5	1,866	
4,6	4,5	4,6	1,867	
4,7	4,5	4,7	1,868	
4,8	4,5	4,8	1,869	
4,9	4,5	4,9	1,87	
5	4,5	5	1,872	
5,1	4,5	5,1	1,873	
5,2	4,5	5,2	1,874	
5,3	4,5	5,3	1,875	
5,4	4,5	5,4	1,876	
5,5	4,5	5,5	1,877	
5,6	4,5	5,6	1,878	
5,7	4,5	5,7	1,879	
5,8	4,5	5,8	1,88	
5,9	4,5	5,9	1,881	
6	4,5	6	1,882	
6,1	4,5	6,1	1,883	
6,2	4,5	6,2	1,884	
6,3	4,5	6,3	1,885	
6,4	4,5	6,4	1,886	
6,5	4,5	6,5	1,887	
6,6	4,5	6,6	1,888	
6,7	4,5	6,7	1,889	
6,8	4,5	6,8	1,89	
6,9	4,5	6,9	1,891	
7	4,5	7	1,892	
7,1	4,5	7,1	1,893	
7,2	4,5	7,2	1,894	
7,3	4,5	7,3	1,895	
7,4	4,5	7,4	1,896	
7,5	4,5	7,5	1,897	
7,6	4,5	7,6	1,897	
7,7	4,5	7,7	1,898	
7,8	4,5	7,8	1,899	
7,9	4,5	7,9	1,9	
8	4,5	8	1,901	
8,1	4,5	8,1	1,902	
8,2	4,5	8,2	1,903	
8,3	4,5	8,3	1,903	
8,4	4,5	8,4	1,904	
8,5	4,5	8,5	1,905	
8,6	4,5	8,6	1,906	
8,7	4,5	8,7	1,907	
8,8	4,5	8,8	1,907	
8,9	4,5	8,9	1,908	
9	4,5	9	1,909	
9,1	4,5	9,1	1,91	
9,2	4,5	9,2	1,911	
9,3	4,5	9,3	1,911	
9,4	4,5	9,4	1,912	
9,5	4,5	9,5	1,913	
9,6	4,5	9,6	1,914	
9,7	4,5	9,7	1,914	
9,8	4,5	9,8	1,915	
9,9	4,5	9,9	1,916	
10	4,5	10	1,916	
10,1	4,5	10,1	1,917	
10,2	4,5	10,2	1,918	
10,3	4,5	10,3	1,919	
10,4	4,5	10,4	1,919	
10,5	4,5	10,5	1,92	
10,6	4,5	10,6	1,921	
10,7	4,5	10,7	1,921	
10,8	4,5	10,8	1,922	
10,9	4,5	10,9	1,923	
11	4,5	11	1,923	
11,1	4,5	11,1	1,924	
11,2	4,5	11,2	1,925	
11,3	4,5	11,3	1,925	
11,4	4,5	11,4	1,926	
11,5	4,5	11,5	1,926	
11,6	4,5	11,6	1,927	
11,7	4,5	11,7	1,928	
11,8	4,5	11,8	1,928	
11,9	4,5	11,9	1,929	
12	4,5	12	1,929	
12,1	4,5	12,1	1,93	
12,2	4,5	12,2	1,931	
12,3	4,5	12,3	1,931	
12,4	4,5	12,4	1,932	
12,5	4,5	12,5	1,932	
12,6	4,5	12,6	1,933	
12,7	4,5	12,7	1,933	
12,8	4,5	12,8	1,934	
12,9	4,5	12,9	1,935	
13	4,5	13	1,935	
13,1	4,5	13,1	1,936	
13,2	4,5	13,2	1,936	
13,3	4,5	13,3	1,937	
13,4	4,5	13,4	1,937	
13,5	4,5	13,5	1,938	
13,6	4,5	13,6	1,938	
13,7	4,5	13,7	1,939	
13,8	4,5	13,8	1,939	
13,9	4,5	13,9	1,94	
14	4,5	14	1,94	
14,1	4,5	14,1	1,941	
14,2	4,5	14,2	1,941	
14,3	4,5	14,3	1,942	
14,4	4,5	14,4	1,942	
14,5	4,5	14,5	1,943	
14,6	4,5	14,6	1,943	
14,7	4,5	14,7	1,944	
14,8	4,5	14,8	1,944	
14,9	4,5	14,9	1,945	
15	4,5	15	1,945	
15,1	4,5	15,1	1,946	
15,2	4,5	15,2	1,946	
15,3	4,5	15,3	1,947	
15,4	4,5	15,4	1,947	
15,5	4,5	15,5	1,947	
15,6	4,5	15,6	1,948	
15,7	4,5	15,7	1,948	
15,8	4,5	15,8	1,949	
15,9	4,5	15,9	1,949	
16	4,5	16	1,95	
16,1	4,5	16,1	1,95	
16,2	4,5	16,2	1,95	
16,3	4,5	16,3	1,951	
16,4	4,5	16,4	1,951	
